stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,periderm
2dpf,2.21,0,1.05,0.79,1.44
3dpf,10.53,0.63,0.36,2.37,0
5dpf,1.32,0.69,0,1.33,0.34
10dpf,3.07,0,0,0.8,0
