stage,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
16hpf,0,0,1.66,0
2dpf,0.61,1.37,0,29.65
3dpf,0,0,0,4.11
5dpf,0,1.46,0,34.91
10dpf,0,0,0,3.92
