stage,central_nervous_system,intermediate_mesoderm,neural_crest,paraxial_mesoderm,periderm
2dpf,0,2.23,2.68,0,7.59
3dpf,0.49,0,0,0,0
5dpf,0,0.43,0,0.33,0
10dpf,1.56,0.4,0,0,0.55
