stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,57.18,0,0,0,0,0,0,0,0
12hpf,12.66,0,0,0,0,0,0,0,0
14hpf,168.58,0,0,105,3.71,0,0,21.1,2.9
16hpf,3.38,0,0,20.07,0,0,0,0,0
19hpf,84.23,0,0,17.24,1.67,0,0,0,2.29
24hpf,26.13,0,0,0,0,1.09,0.87,2.87,0
2dpf,128.31,0,1.4,18.94,8.61,11.73,8.67,5.17,7.32
3dpf,118.07,1.09,0,7.9,1.88,86.12,0.53,0.72,5.31
5dpf,28.68,0.76,2.9,6.18,0.35,12.46,0.81,2.38,11.74
10dpf,83.51,0.52,1.8,19.26,1.44,20.91,2.85,0.66,3.58
