stage,hematopoietic_system,lateral_mesoderm,mesenchyme,periderm
2dpf,0,0,2.07,0
3dpf,0,0,11.19,0
5dpf,1.53,0.36,4.07,0.38
10dpf,10.26,0,3.29,0
