stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme,periderm
2dpf,8.03,0,1.68,0.59,0
3dpf,38.14,0.81,0,0,0.82
5dpf,6.03,0,1.06,1.4,1.98
10dpf,22.07,1.51,0,0,0
