stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,1.1,0,2.94,0.71,0.78,0
3dpf,0.81,0,0.33,0,2.15,0
5dpf,2.93,0.55,3.61,0,8.03,0.39
10dpf,2.51,1.79,4.89,0,4.39,0
