stage,central_nervous_system,hematopoietic_system,mesenchyme,neural_crest,periderm
2dpf,2.27,0,0.48,0,0
3dpf,2.69,0,0.78,0,0
5dpf,0.33,0.37,0.73,0.56,0.71
10dpf,43.97,0,1.64,0,1.33
