stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
2dpf,0,0,0,0,8.43,0,5.92,1.66,0
3dpf,4.18,0,0.31,1.56,154.58,0,0.8,0,0
5dpf,0.7,2.66,1.45,2,520.41,0.99,47.06,3.51,3.34
10dpf,3.94,0,0,3.74,99.91,0,0.51,0.87,0
