stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,neural_crest,periderm
2dpf,0,0,0,0.49,0,0
3dpf,11.41,0,0.6,0,0,0
5dpf,0,2.23,0,0,0.75,0
10dpf,0,1.61,0,0,0,0.44
