stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme,notochord,periderm
14hpf,0,5.57,0,0,0,0
2dpf,7.42,0.66,0.51,5.01,0,8.55
3dpf,5.64,0,0,0.86,0,7.06
5dpf,0,0,0.72,1.25,0.32,14.78
10dpf,0.57,0,0,2.54,0,8.95
