stage,central_nervous_system,endoderm,hematopoietic_system,paraxial_mesoderm,periderm
16hpf,0,0,0,0,1.66
24hpf,0,0,0,0,1
2dpf,3.17,0.55,0,0,0.76
3dpf,0.78,0,0,0,0.54
5dpf,5.84,0,0.35,0,6.87
10dpf,2.89,1.11,0,0.69,14.42
