stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,notochord,periderm
24hpf,0.86,0,0,0,0,0,0,0
2dpf,0.76,0,0,0,0,0,0,2.57
3dpf,21.04,0.84,0,0.36,0,0,0,2.35
5dpf,4.16,0,0.33,0,0.88,1.09,0.63,4.9
10dpf,16.93,0,0,0.48,0.96,1.73,0,0
