stage,central_nervous_system,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
24hpf,3.7,0,0.81,0,0
2dpf,23.21,0.79,6.98,0,0.48
3dpf,54.33,0,1.04,0,0.6
5dpf,6.01,0,0,1.44,0
10dpf,12.13,0,1.65,0,0
