stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,21.94,10.12
12hpf,0,0,0,0,0,0,0,1.83,0
14hpf,0,0,0,2.48,0,0,0,2.57,34.62
16hpf,0,0,0,0,0,0,0,0,1.64
19hpf,0,0,0,0,0,0,0,0,18.09
24hpf,0,0,0,0,0,0,0,0,5.52
2dpf,23.41,0.9,0,1.69,0,4.34,0,0.71,115.97
3dpf,18.5,2.28,0.37,0.6,1.67,1.41,0.72,0,54.96
5dpf,20.44,3.28,0,1.86,0,11.85,0.56,4.21,173.25
10dpf,11.79,0.45,0,0,0.49,2.09,0,1.42,78.06
