stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,periderm
2dpf,7.21,4.92,0,0.69,3.57,0.88
3dpf,6.26,0.72,0,0.75,0,0
5dpf,2.06,1.76,0.3,0,4.53,0
10dpf,3.59,1.9,0.38,1.55,0,0
