stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,notochord,periderm
24hpf,0.83,0,0,0,0,0
2dpf,2.9,0,0.91,2.83,0,1.33
3dpf,13.89,0,0,0.41,0,0
5dpf,2.24,0,0.97,3.29,1.06,1.38
10dpf,10.64,0.57,0,0.39,0,0
