stage,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,periderm
2dpf,0,1.13,0,1.38,22.11
3dpf,0.61,0,0,0,1.11
5dpf,1.3,0.41,0.71,0,18.75
10dpf,2.95,0,0,0,2.05
