stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
10hpf,98.68,0,0,0,0,0,0
19hpf,0,0,0,0,0,2.47,0
2dpf,0,1.02,2.07,1.42,2.87,0,0.6
5dpf,0,0,0.33,0,0,0,0
