stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,periderm
2dpf,0,0,0,0,0,0,12.91
3dpf,0,0.49,0,1.26,0,0,0.52
5dpf,0,4.5,0.93,0,0.42,1.02,12.93
10dpf,0.54,2.49,0,0.44,0.82,0,0.64
