stage,central_nervous_system,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,0,0.61,0.71,0,0
5dpf,0,0,0.57,0,0.33
10dpf,0.62,0,0.46,0.45,0
