stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,54.67,0,0,0,0,0,9.4,43.73,0
12hpf,116.15,2.76,0,0,0,0,23.65,84.49,2.77
14hpf,29.14,0,0,0,0,0,2.93,96.1,0
16hpf,10.68,0,0,0,1.78,0,9.81,68.68,0
19hpf,16.34,0,0,0,0,0,0,5.42,0
24hpf,45.55,1.32,0,0,0,0.89,0,0.84,2.01
2dpf,81.74,0,0,20.31,2.43,12.01,0,0.53,4.31
3dpf,62.88,0.86,0,11.81,0.39,5.63,0,0.42,0
5dpf,57.34,0.41,0.37,0.31,0,9.97,0,0.55,1.81
10dpf,33.94,2.39,0,6.4,0.82,2.69,0,0,0
