stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,0.93,0,0.9,0,1.56,2.26,1.16,0
3dpf,4.04,0,0,0.45,3.77,0,0.33,0
5dpf,1.18,0,1.81,2.72,18.5,1.32,2.8,5.05
10dpf,3.95,1.01,0,0,9.59,2.43,10.93,0.53
