stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,8.46,0,20.63,0,0,0,0,0,8.51,0
12hpf,5.81,1.82,9.54,0,0,0,0,1.77,7.68,0
14hpf,0,0,5.26,0,0,0,0,2.33,0,0
16hpf,11.11,0,3.58,2.62,0,0,0,0,10.25,1.85
19hpf,7.92,0,0,0,1.69,0,0,0,0,0
24hpf,10.47,0,0.92,0,2.71,0,0,0,4.04,1.79
2dpf,71.73,6.7,17.13,8.63,15.53,38.23,7.1,0,28.72,21.99
3dpf,159.44,3.3,181.62,3.17,3.9,58.58,3.23,0,5.35,10.05
5dpf,71.46,7.19,16.85,22.03,13.2,239.34,14.7,9.42,54.66,151.18
10dpf,147.26,13.24,88.14,12.58,15.61,253.2,6.47,0,52.82,19.73
