stage,central_nervous_system,intermediate_mesoderm,mesenchyme,neural_crest,notochord,periderm
2dpf,0.52,0,0,1.81,0,0
3dpf,2.61,0,0,0,0,0
5dpf,0.98,0.97,2.71,0,0.65,7.02
10dpf,0.72,0,1.01,0,0,0
