stage,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,0,0,1.88,0.58,0
3dpf,0.4,0.32,0,0.3,0
5dpf,2.24,0.67,0.42,0,4.9
10dpf,0.69,0,0,0,0
