stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,44.98,0,0,0,0
12hpf,0,0,0,2.09,83.92,0,0,0,0
14hpf,0,3.68,2.51,11.88,14.02,0,0,0,8.22
16hpf,1.67,0,0,0,19.62,0,0,1.89,15.03
19hpf,0,0,1.58,0,18.41,0,0,0,8.68
24hpf,0,0,2.24,0,20.79,0,0,0.81,1.91
2dpf,10.2,1.81,1.35,0.96,21.37,8.44,0,1.72,4.52
3dpf,1.43,0.92,0.39,1.46,3.65,15,0.3,0,2.51
5dpf,5.38,1.27,5.55,4.59,6.36,26.87,0,1.67,14.15
10dpf,0.8,3.04,6.05,3.1,3.6,22.97,0,1.12,11.77
