stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,periderm
24hpf,0,0,0,0.81,0
3dpf,1.95,0.43,0.49,0,0
5dpf,0,0,0,0,0.75
10dpf,0.43,0.47,0,0,0
