stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,9.31
12hpf,2.88,0,0,0,3.49,0,0,0,38.43
14hpf,54.44,0,0,0,0,25.95,0,0,419.65
16hpf,39.21,0,0,0,3.64,44.19,0,7.75,640.87
19hpf,0,0,0,0,0,36.83,0,0,256.61
24hpf,7.95,0,0,0,0.92,400.23,0,2.46,37.38
2dpf,11.17,0,0,0,0,5.88,2.47,4.19,1.61
3dpf,1.47,0,0,0.5,0,58.92,0,0,1.09
5dpf,1.54,0.79,4.31,1.94,0,93.78,0.46,7.82,3.21
10dpf,2.37,0,0,8.44,0,136.39,1.19,2.7,0
