stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,0,0,1.86,2.11,0,0,0.63
3dpf,2.69,0,0.44,0,1.21,0,0
5dpf,0,0,0,0,0.81,0.47,0
10dpf,0.53,0.41,0,0,0,0,0
