stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,periderm
2dpf,0,0,0,0,1.45
3dpf,0,0.52,0,0,2.82
5dpf,0,0,1.27,0.7,5.49
10dpf,1.23,1.34,0.4,0,3.61
