stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,periderm
3dpf,0,1.85,0,0,0,0
5dpf,5.6,2.44,0.31,1.27,3.11,2.37
10dpf,0,0.84,0,0,0.67,0.85
