stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,neural_crest,periderm
2dpf,0.53,0,0,0,0.49,8.29
3dpf,5.57,0,0,0,0,0
5dpf,2.29,0.53,0.47,1.03,0,0
10dpf,2.56,0,0,0,0,0
