stage,central_nervous_system,lateral_mesoderm,mesenchyme,neural_crest
2dpf,0,0.59,0,0
3dpf,0.37,0,0.54,0
5dpf,0.45,0,0,0
10dpf,0.64,0,0.56,0.68
