stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,periderm
2dpf,0,0,0,0.51,0.66,8.19
3dpf,0,0.52,0,0,0,1.59
5dpf,2.18,1.22,0.51,2.33,0,5.91
10dpf,4.35,0,0,0,0,2.13
