stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,9.56,0,4.29,1.22,0,1.27,0
3dpf,65.73,0,0,0.69,0.77,0.32,0
5dpf,1.98,0.77,0.33,0,0,0,1.03
10dpf,24.61,2.14,0,0,0.99,0,0
