stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,37.95
12hpf,0,0,0,0,0,0,0,0,1.89
14hpf,0,0,0,0,0,0,0,0,254
16hpf,11.01,0,0,0,0,0,0,0,287.85
19hpf,0,0,0,0,0,0,0,0,572.58
24hpf,7.39,0,0,0,0,0,1.35,1.02,155.01
2dpf,22.75,0.52,1.45,5.63,4.21,9.5,0,0.73,380.84
3dpf,34.95,3.04,0.43,3.46,3.58,32.51,0.37,0.33,159.39
5dpf,29.86,4.79,0.46,7.9,2.85,45.7,2.09,3.08,730.01
10dpf,15.44,0,0.47,3.47,10.71,12.06,0.97,0.41,229.03
