stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,paraxial_mesoderm,periderm
2dpf,0.72,0,0,0.55,0,20.26
3dpf,0.89,0.32,0,0,0,5.57
5dpf,2.33,0,0.5,0,0.56,27.56
10dpf,0.66,0,0.46,0,0,11.56
