stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
2dpf,1.58,0.89,0,1.73,0,0,1.13,1.3
3dpf,4.22,9.3,0,3.3,0.32,0,0,1.05
5dpf,3.5,10.31,1.77,7.38,0,0.32,4.97,6.92
10dpf,3.44,30.35,0,0.52,0,0,0,0.62
