stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,2.35,0,0,0.53,3.24,0.76,0.57,0
3dpf,10.5,0,0,0,1.07,0,0,0.48
5dpf,0.31,0.35,0.37,0,1.09,0,0,0.51
10dpf,2.41,0,0,0,0.89,0,0,0
