stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,periderm
2dpf,0,0,0,0.9,0,0
3dpf,0.35,0,0,0,0.58,0
5dpf,0.69,0,0.69,0,0.34,0.29
10dpf,0,2.72,1.01,0,0,0
