stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,periderm
2dpf,1.17,0,1.36,0,0,3.29
3dpf,2.74,0,0,2.69,0,1.07
5dpf,2.47,0.36,0,1.81,0.94,6.38
10dpf,3.21,0,0,0.61,0,0
