stage,central_nervous_system,hematopoietic_system,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
24hpf,0,0,0,0,0,0,0.88
2dpf,0.76,0.51,1.79,0,0,0.87,51.06
3dpf,2.58,0,1.2,0,0,0,10.9
5dpf,0.88,0.31,2.88,0,0.69,0,55.8
10dpf,2.78,0,4.02,0.4,0,0,23.51
