stage,central_nervous_system,intermediate_mesoderm,mesenchyme,neural_crest,notochord,periderm
14hpf,0,0,0,0,0,2.53
16hpf,0,0,0,0,2.18,0
24hpf,0,0,0,1.52,3.22,0
2dpf,7.26,0.87,1.24,35.91,0,0
3dpf,3.87,0,0.73,0,0,0
5dpf,0,0,0.79,2.17,0,1.06
10dpf,1.7,0.53,0,0,0,0
