stage,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,0.68,0,2.76,0.61,0,0,0
3dpf,0,0,0,0,0,0,0.68
5dpf,0,0.84,1.14,0,0.82,0.33,0
10dpf,0,0,0,0,0.47,0.43,0
