stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm
16hpf,1.79,0,0,0,0,0,0,0
2dpf,7.1,0,0,0,4.8,9.28,0,0.99
3dpf,55.39,0,0,0.82,5.91,1.54,0,0.72
5dpf,187.67,2.15,0.6,0.65,5.67,4.62,0.31,0
10dpf,41.5,5.15,0.38,0,3.94,9.06,0,0
