stage,central_nervous_system,intermediate_mesoderm,mesenchyme,neural_crest,periderm
2dpf,0,0,1.69,0,63.81
3dpf,0.43,0,0,0.72,12.38
5dpf,0,0,0,0.94,73.3
10dpf,1.41,0.77,0,0,37.58
