stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,55.34,0,0,0,13.36,0,0,23.49,97.08,9.11
12hpf,171.02,4.38,19.11,7.93,41.77,25.45,0,17.37,158.8,39.98
14hpf,137.88,0,19.75,15.99,25.01,41.1,5.75,2.94,120.46,40.4
16hpf,202.78,5.3,35.63,15.76,59.83,59.64,11.12,1.81,177.38,66.2
19hpf,85.49,0,1.73,3.25,1.91,15.11,3.56,1.71,20.56,6.52
24hpf,145.76,0.94,13.22,3.44,23.06,23,6.66,0,44.54,9.2
2dpf,273.49,5.27,1.92,8.14,63.44,167,23.61,5.38,49.56,32.9
3dpf,746.76,13.2,12.87,15.57,18.5,273.17,12.26,0,18.56,30.48
5dpf,127.14,9.71,31.83,26.46,10.8,311.44,13.78,10.4,50.78,97.49
10dpf,427.62,29.01,49.58,36.15,21.43,294.22,28.9,0,31.68,22.99
