stage,central_nervous_system,endoderm,lateral_mesoderm,paraxial_mesoderm,periderm
2dpf,0.71,0,1.46,2.33,6
3dpf,0,0.46,0,0,0.39
5dpf,0,0,0,0,5.68
10dpf,0,0.95,0,0,0
