stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,381.76
12hpf,1.81,0,0,0,0,0,0,0,13.27
14hpf,0,0,0,0,0,0,0,0,1176.95
16hpf,0,0,0,0,0,0,0,0,45.03
19hpf,0,0,0,0,0,0,0,0,1100.86
24hpf,0,0,0,0,0,0,0,0.9,33.82
2dpf,4.94,0,1.87,0.57,3.47,1.3,0,0.58,164.1
3dpf,12.15,4.87,0,0.77,1.88,9.97,0,1.48,208.41
5dpf,2.86,0,1.01,0,0,3.3,0,1.07,371.06
10dpf,18,2.88,1.33,2.57,0,8.42,2.14,0,219.03
