stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,0.51,0,0,0.77,1.3,2.97
3dpf,1.91,0,0,0,0.47,3.07
5dpf,0,0.42,0,0,0,4.64
10dpf,2.74,1.15,0.86,0,0,5.9
