stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,neural_crest,periderm
24hpf,0,0.85,0,0,0,0
2dpf,0.75,3.65,4.4,0,0,0
3dpf,0.85,8.46,2.34,0,0,0
5dpf,0,11.26,3.6,1.84,0,1.23
10dpf,4.39,34.5,1.2,0,0.73,0
