stage,hematopoietic_system,mesenchyme,paraxial_mesoderm,periderm
2dpf,0,0,0,5.89
3dpf,0.57,0.63,0,1.91
5dpf,0,0.59,0,8.7
10dpf,0,1.83,1.38,4.17
