stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm
24hpf,0.86,0,0,0,0,0
2dpf,1.92,0,0,1.75,2.27,1.62
3dpf,9.42,0,0,0,0,0
5dpf,5.03,0,1.91,0.38,0.6,0
10dpf,7.53,4.86,0,1.47,0.47,24.27
