stage,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,periderm
2dpf,0,1.48,3.01,0,4.62
3dpf,0,0.35,0.7,0.57,0
5dpf,0,4.19,0,0,1.48
10dpf,1.46,1.32,0,0,2.28
