stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,notochord,periderm
24hpf,0,0,1.03,0,0,0,1.09
2dpf,0.51,0,5.98,0,3.03,0,8.22
3dpf,0.85,1.16,5,0.86,2.81,0,16.08
5dpf,1.17,11.42,15.18,0.42,6.05,0.34,125.01
10dpf,3.47,19.63,8.21,7.87,0.72,0,66.41
