stage,central_nervous_system,endoderm,intermediate_mesoderm,notochord,periderm
2dpf,0.56,0,0.93,0,0.52
3dpf,2.33,0.42,0,0,0.33
5dpf,1.55,0,0.38,1.08,0.87
10dpf,0.88,0.78,0,0,2.18
