stage,endoderm,intermediate_mesoderm,mesenchyme,periderm
2dpf,0,1.16,0,0
3dpf,0.34,0,0,2.14
5dpf,3.9,0.56,0.53,13.33
10dpf,5.4,0,0,19.11
