stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,9.64,0,0,1.34,0,0,2.97
3dpf,198.45,0,0,1.32,0,0,1.75
5dpf,14.88,0,1.25,10.07,1.06,0.46,2.62
10dpf,78.51,1.27,0,1.03,0,0,0
