stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,33.83,0,0,0,0,0,0,2012.87,0
12hpf,0,0,0,0,0,0,0,1373.89,2.22
14hpf,13.68,0,0,35.93,0,0,0,2791.36,0
16hpf,6.38,0,0,14.11,0,0,0,1834.91,18.37
19hpf,1.74,0,0,0,0,0,0,376.38,0
24hpf,4.73,2.39,0,6.5,2.36,0,0,1218.1,2.36
2dpf,39.74,2.2,2.04,12.09,18.52,2.63,0.86,95.73,7.22
3dpf,1.47,0.3,0,0,0,0,0,12.98,0.59
5dpf,0,0,0,0,1.77,0,0,11.49,0.93
10dpf,3.69,1.03,0,0,0.43,0,0,35.83,0.95
