stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
3dpf,4.58,0,0,1.86,0,0,0,0
5dpf,1.09,0.57,1.4,3.51,0.29,0.35,1.59,1.57
10dpf,7.5,0,0,4.88,0,0,0,0.54
