stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,periderm
2dpf,1.62,0,0.81,0
3dpf,0,0,0,0.37
5dpf,0,0.36,0,0.37
10dpf,0,0.49,0,0.78
