stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest
2dpf,0,0,1.34,0,0
3dpf,0.57,0,0,0.45,0
5dpf,0,0,0,0,0.49
10dpf,0.43,0.38,0.89,0,0
