stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,periderm
2dpf,0,0.55,0,3.15,2.99,0
3dpf,2.37,0,0,0,0.6,0.69
5dpf,0.83,0,0,0,3.72,0.96
10dpf,3.46,0,1.15,0,0.52,0
